qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Mourya Tasty Foods,4.2,"-9,289",·,?1200,Vegetarian,·,?,·,"1st Line Naidupeta Opp. Hari Hara Mahal, Main Road, beside LVR Club",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Alfa downtown family restaurant,3.8,-377,·,?200400,Coffee shop,·,,6GH6+RF6,,Open now,,Dine-in,·,Drive-through,·,No-contact delivery,,
Bhuvi's Billiards Cafe,4.8,-96,,,Pool hall,·,,Amaravathi Rd,,Open,· Closes 11 pm,"""Cool drinking water is available too.""",,,,,,
MEXIILICIOUS(Fusion Cafe),4.6,-8,,,Restaurant,·,,"ITI school, upside of Triqle, opp. Don basco",,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
RUCHI IN,4.0,-410,·,?1200,Cafe,·,?,·,near by Ruchi Centre,Open,· Closes 9:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
City Cafe,3.9,-13,,,Cafe,·,,13-01-2013,,Open,· Closes 7 pm,Takeaway,,,,,,
The #Box,4.0,"-1,336",·,?200400,Biryani,·,?,·,"Klp School, beside thancos naturals ice-cream, S.V, Main Rd",Opens soon,· 11:30 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
Dwarka cafe,5.0,-4,,,Cafe,·,,"Mani Hotel Centre, Balaji Nagar 3rd line, Main Rd",,Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,,,,
madhura restaurant,3.7,-224,,,Bakery and Cake Shop,·,,7FW4+F5R,,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
Highway canteen,5.0,-1,,,Coffee shop,·,,"13-91/12opposite, Oil Highway",,,,Dine-in,,,,,,
Jismat Jail Mandi Guntur,3.7,"-1,208",·,"?2001,200",Restaurant,·,,14th St,,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
CR7 The Cafe Lounge,4.4,-212,·,?200400,Grill,·,,8CPJ+CHJ,,,,"""It's a pretty small cafe which can accommodate around 40 people.""",,,,,,
Hotel Sri Sankara Vilas,3.8,"-9,403",·,?1200,South Indian,·,,04-Jan,Simple veggie meals & all-day tiffins,Open,· Closes 10:30 pm,"""Juice,",,coffee,,", cool drinks, icecream & meals.""",Order online,?
