qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1,AJB7ye,AJB7ye 2,doJOZc,W4Efsd 6
Cafe Madrassi,4.0,-515,Restaurant,·,·,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,Order online,,·,₹200–400,,Rd Number 1
The Old Capital Cafe,4.4,-92,Western,·,Birla compound,Closed,· Opens 1 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,,·,₹200–400,,
New Mamatha Cafe,4.2,-40,Coffee shop,,,Open,· Closes 10:30 pm,"""Good service superb nice atmosphere""",,,,,,,·,₹1–200,,
T-REST,4.8,-16,Coffee shop,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,,,·,₹1–200,,"Nandyal check post, beside Kurnool Tiles and Sanitary"
Amay Bistro,4.5,-104,Cafe,·,"45/203-2-2, Venkata Ramana Colony Main Rd",Closed,· Opens 12:30 pm,Dine-in,·,Takeaway,,,Order online,,·,₹200–400,,
Golden Cafe & Restaurant,4.2,-211,Restaurant,·,"R29F+M9P, Pancharatna Colony, Industrial Estate Rd",Open 24 hours,,Dine-in,·,Takeaway,·,No-contact delivery,,,·,₹1–200,,
7th Heaven Bakery and Cafe,4.7,-233,Bakery and Cake Shop,·,"D no 40/337-A, opp. National Insurance",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,,·,₹1–200,,
Kartikeya's Cafe,4.7,-18,Restaurant,·,"Shop No 13 Skandavyapar Sampath Nagar, Kallur, near Edga",Closed,· Opens 1 pm,Dine-in,·,Takeaway,,,Order online,,·,"₹1–1,000",,
C4 Coffee Shop,4.4,-20,Cafe,·,"R2PR+PG5, Municipal Office Rd",Open,· Closes 10 pm,Drive-through,,,,,,,,,,
Hangout,3.9,"-5,716",Restaurant,·,"KSR CONVENTIONS, Hyderabad - Bangalore Hwy",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,·,₹200–400,,
HOT SPOT Apna Adda,4.7,-19,Cafe,·,Shop 402,Open,· Closes 9 pm,Dine-in,·,Takeaway,·,No-contact delivery,,,,,,
Golla’s Cafe Six Tea Six,4.5,-17,Restaurant,·,Birla compund,Open,· Closes 8 pm,Dine-in,·,Kerbside pickup,·,No delivery,,,·,₹1–200,,
Foresta ( cafe and restaurant ),3.9,"-1,564",Restaurant,·,"Ground Floor, Medum Prabhas Plaza, Bangarpet Rd, opp. Sri Rama theatre",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,,·,"₹200–1,000",,
Chai Adda,4.8,-22,Cafe,·,"Shop no 4, Haniman complex, Illugu nagar, Pump House Rd, nearby Auto Stand",Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,,·,₹1–200,,
Chennapatnam Filter Coffee,4.0,-13,Coffee shop,·,R26R+X7X,Open,· Closes 9:30 pm,Takeaway,,,,,,,,,,
FM Cafe,4.7,-13,Tea store,·,"2. Pedda padu, Road, near Radio Station",Open,· Closes 9 pm,"""FM CAFE.💯  Nice place and beautiful view🌙 super coffee,and chai ♨️""",,,,,,,,,,
Pista House Kurnool,4.1,"-3,491",Restaurant,·,·,Open,· Closes 12:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,,·,"₹200–1,200",,"NH44, Hyderabad - Bangalore Hwy"
GOLDEN ZOYA CAFE,3.7,-83,Cafe,,,Open,· Closes 11 pm,Dine-in,·,Drive-through,,,,,·,₹,,
Ravi Coffee Depot,4.1,-177,Coffee shop,·,·,Open,· Closes 10 pm,Kerbside pickup,·,Delivery,,,,,·,₹1–200,,"NO: 18/11, Nehru Rd"
"Challa Compound, Kurnool",4.0,-76,Cafe,·,"R2PP+2HM, Railway Station Rd",Open 24 hours,,Dine-in,·,Takeaway,,,,,·,₹200–400,,
VIVA FINE DINE ( Hotel K Fortune ),4.7,-306,Restaurant,·,"Ground Floor, Hotel K Fortune, Nandyal Road, near G Pullareddy Engineering College",Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,Delivery,Order online,,·,"₹200–1,400",,
Mama'S Cafe,5.0,-3,Coffee shop,·,·,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No delivery,,,,,,"@ Hotel Radhakrishna, Bellary Chowrasta Rd, opp. Bajaj Showroom, beside 4th town police station"
MALABAR CAFE,4.8,-6,Coffee shop,,,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,,,,,
MV Cafe,4.3,-3,Coffee shop,·,Ukon Shoppy Ln,Open 24 hours,,Dine-in,·,Takeaway,,,,,,,,
2nd WIFE CAFE,4.5,-4,Coffee shop,·,"Raaga Mayuri Green, City Road",,,Dine-in,,,,,,,,,,
Ice Magic Ice Cream Parlour,4.8,"-6,613",Ice Cream,·,·,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,,·,₹₹,,"Shop:19,20,21 ucon plaza, Park Rd"
Kumbakonam Degree Coffee,4.3,-41,Coffee store,·,"Vikram cafe plot no 38/A , sy No 308/a3,308/c & 308/a2 l.v.reddy nagar rudravaram village nandanapalli gram kurnool mandal",Open,· Closes 9 pm,Delivery,,,,,,,·,₹1–200,,
HOTEL ENTER NATIONAL TEA SNACKS & SWEETS,4.6,-39,Cafe,·,·,Open,· Closes 10:45 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,,,,"Besides Harayana Jalebi, Old Control Room Municipal complex"
Buddha cafe,4.5,-45,Coffee shop,·,87/1100-2,,,"""Good service and smoking zone is seperate in this cafe 🤍""",,,,,,,·,₹1–200,,
Heaven's Café,4.4,-358,Cafe,·,"Shiva Shankar theatre road, near Sri Chaitanya School",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,,,·,₹200–400,,
Kurnool City Cafe,5.0,-2,Cafe,·,"Mahaveer nagar, beside SASYA HERO SHOWROOM",,,Dine-in,·,Takeaway,,,,,,,,
