qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Vihaari Family AC Restaurant,4.6,-787,·,?200400,Restaurant,·,·,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
N N Cafe,,,,,Cafe,·,opp. Dr Dinesh Gastro,,,,,,,,,
Taj Mahal Cafe,4.1,-86,·,?,Cafe,·,·,Open,· Closes 9 pm,Takeaway,,,,,,
GRAND CAFE,5.0,-6,,,Cafe,·,"Kadapa Rd Bridge, near suzuki show room",,,Dine-in,,,,,,
EXULT COFFEE HOUSE,4.6,-27,·,?1800,Coffee shop,·,"3-61/11, 100 Feet Rd, opp. SUN FLOWER SCHOOL",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,,,,
Anvika food & cafe,,,,,Bakery and Cake Shop,·,"HP7C+38R, Yerraguntla Road",,,,,,,,,
RUMMY CAFE,4.8,-5,,,Coffee shop,·,W652+G57,Open 24 hours,,Dine-in,,,,,,
BeCafe,5.0,-2,,,Coffee shop,·,HJV6+5P,,,Dine-in,,,,,,
Coffee Day Fresh 'n Ground,4.3,-16,·,??,Coffee shop,·,"Andhra bank(union bank, PM Palem Main Road, opposite road",,,"""Best",,coffee shop in,,PM Palem for,,
ULLAPPA Tea Stall,4.2,-44,,,Coffee shop,·,Jai Maa Colony,Open,· Closes 7:30 pm,Drive-through,,,,,,
SriSailam Coffee Cafe,4.4,-122,·,?1200,Coffee shop,·,NH 44,Closed,· Opens 3 pm,Dine-in,·,Drive-through,,,,
EXULT COFFEE HOUSE,4.6,-27,·,?1800,Coffee shop,·,"3-61/11, 100 Feet Rd, opp. SUN FLOWER SCHOOL",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,,,,
FRIENDS CAFE,5.0,-2,,,Coffee shop,·,"64FF+8GX, opposite to St Mary's school",Open 24 hours,,Dine-in,,,,,,
TEA,3.8,-16,·,?1200,Coffee shop,·,"XH4Q+J9X, Kurnool to Kadapa highway kulur Road",Open,· Closes 11 pm,Dine-in,,,,,,
"High Way Nest, chagalamarri, TEA,COFFEE, COLLDRINKS SHOP, REST ROOMS, CAR PARKING AVAILABLE IN 24/7 HOURS",3.7,-3,,,Coffee shop,·,XHJF+QCM,Open 24 hours,,Dine-in,,,,,,
Coffee Day Fresh 'n Ground,4.3,-16,·,??,Coffee shop,·,"Andhra bank(union bank, PM Palem Main Road, opposite road",,,"""Best",,coffee shop in,,PM Palem for,,
Foodisto Mehith's Food Court,4.3,-35,·,?1200,Cafe,·,"SRB Complex, Back Vegaetable Market, opposite to Ranganatha Swami Temple",Open,· Closes 9 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Morning Coffee,4.5,-2,,,Cafe,·,near Vijetha Super market,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,
The Coffee Shop,4.3,-28,,,Cafe,·,X934+36R,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,,,,
Sri Sainadh Tiffen center,3.9,-10,,,Breakfast,·,"RVCH+3RP, Nagasanipalli Mallepalli Rd",Open,· Closes 8 pm,Dine-in,·,Takeaway,,,,
Chikmagulur filter coffee,4.7,-6,,,Coffee shop,·,R83W+CVJ,Open,· Closes 9 pm,"""Best Filter",,Coffee in,,"the locality - PM Palem""",,
Ippatal Cross,4.8,-6,,,Coffee shop,·,"C5VP+8W2, Pulivendula-Parnapalle Rd",Open now,,Dine-in,·,Drive-through,,,,
Mr tea,4.1,-11,·,?1200,Coffee shop,·,"Petrol Bunk, Ln 5, opposite hp",Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
DECCAN CHAI,5.0,-8,·,?1200,Coffee shop,·,"BUSSTAND, opposite NEW RTC",Open,· Closes 9 pm,Dine-in,,,,,,
T- Vanamm,4.5,-8,·,?1200,Cafe,·,"RTO office, opposite Pulivendula",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
On Tea,4.2,-25,·,?1200,Coffee shop,·,C6MJ+HJ6,Open,· Closes 9 pm,Dine-in,·,Drive-through,,,,
Coffe Bar,5.0,-4,,,Coffee shop,·,JJ64+V32,,,Dine-in,,,,,,
Rusted Spoon,4.4,"-7,725",·,"?4001,600",Fine Dining,·,·,Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
Vikky's Cafe & Bistro,3.9,-26,·,?1600,Cafe,·,"Door no 3, 120",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Hangout cafe,,,,,Cafe,·,"Loyola, Degree College Rd",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
