qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,AJB7ye,AJB7ye 2
Sri Murari cafe,4.1,-174,Coffee shop,·,"Tata Motors Showroom, opposite Chirala Bypass Road",Open,· Closes 9:30 pm,Dine-in,·,Drive-through,,,·,₹1–200
SRINU TEA POINT,4.1,-14,Cafe,·,"57Q6+WFX, MDR45",Open 24 hours,,Drive-through,,,,,,
Mohan Sai Kumar Cafe,4.5,-2,Cafe,·,Kotappakonda Rd,,,Dine-in,,,,,,
Bharath cafe,4.2,-28,Coffee shop,·,"NH-216, road, near hai restaurant",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
TEA TIME,4.3,-20,Coffee shop,·,"9W9V+9F8, Narketpally Addanki Medarmetla Rd",,,Dine-in,,,,,,
TEA STEP2,4.4,-74,Coffee shop,·,"TOLL PLAZA, TEA STEP, HIGH WAY, NH 16, near BOLLAPALLI",Open,· Closes 11 pm,Dine-in,·,Drive-through,,,·,₹1–200
IRANI CHAI AND KONANKI TIFFINS,4.3,-52,Tiffin center,,,Open 24 hours,,Dine-in,·,Drive-through,·,No delivery,·,₹1–200
Friends Cafe,5.0,-6,Tea store,·,"Oppisite anjaneyeswami temple, mainroad",Open 24 hours,,,,,,,,
MR TEA (cafe),4.6,-25,Coffee shop,·,W35V+3C9,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,·,₹1–200
CAFFEINE CUPS,4.7,-167,Coffee shop,·,·,Open,· Closes 9:30 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,·,₹1–200
భాను చరణ్ టీ కాఫీ & కూల్ డ్రింక్స్,5.0,-1,Coffee shop,·,"Coffe And Tea Or Cool Drinks, Bhanu Charanu, Main Road, near Hanuman Temple",,,,,,,,,
Jupalli Spices - Family Restaurant,4.4,"-1,359",Andhra,·,"Jupalli Centre, 60 Feet Rd",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Baba bujji coffee shop,5.0,-1,Coffee shop,·,"3W2Q+6H4, Narketpally Addanki Medarmetla Rd",Closes soon,· 11 am · Opens 6 am Tue,Dine-in,,,,,,
HIGHWAY CAFE AND RESTAURANT UNLIMITED,4.0,-48,Coffee shop,,,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
FRIENDS CAFE,4.1,-55,Tea store,,,Open now,,Dine-in,·,Takeaway,,,,
Gokul Tea & Snacks,4.2,-216,Coffee shop,·,,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
ANNAPOORNA COFFEE MANUFACTURERS,4.9,-7,Cafe,·,"Door No.21, 94, Main Rd, opp. Girl's High School",Open,· Closes 9 pm,Dine-in,,,,,,
Food Cafe,4.2,-19,Fast Food,·,"35Q9+VMG, near urban bank",,,Dine-in,·,Takeaway,·,Delivery,,
"Raj Kumar tea, coffee and cool drink shop",4.6,-16,Coffee shop,·,·,Open now,,Dine-in,·,Drive-through,,,·,₹1–200
ARAKU COFFEE,3.7,-32,Cafe,·,P2F5+XJF,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
Varadhi Toll plaza cafe,3.5,-2,Coffee shop,·,W7MR+W3J,,,Dine-in,,,,,,
Vamsi's Vindu The family Restaurant,4.2,"-1,098",Biryani,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹200–400
Alfa downtown family restaurant,3.8,-377,Coffee shop,·,6GH6+RF6,,,Dine-in,·,Drive-through,·,No-contact delivery,·,₹200–400
Tara Café,4.9,-15,Coffee shop,·,"Q9VJ+798 Connecting Rd, Sriram Panorama Beach, Law College Rd",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,·,₹1–400
Coffee day,4.7,-31,Coffee shop,,,Open,· Closes 10 pm,Dine-in,,,,,·,₹1–200
Madras Premium Coffee,5.0,-4,Coffee shop,·,"R9G2+VJF, High School Rd, opp. Indian Overseas Bank",Open,· Closes 10 pm,"""Coffee Quality:
Coffee is fresh and well-prepared.""",,,,,,
Grk chai cafe,5.0,-2,Coffee shop,·,"X77C+235, Parchuru Inkollu Rd",Open,· Closes 10:30 pm,Dine-in,,,,,,
T-TEA,4.0,-202,Cafe,·,Narketpally Addanki Medarmetla Rd,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
TEA TECH PARK,5.0,-14,Restaurant,·,·,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
MADINA'S MAGIC CAFE,3.9,-8,Coffee shop,·,"M267+QX3, beside panjabi dhaba",,,Dine-in,,,,,,
Cafe ( Saradaga Kasepu ),4.0,-4,Coffee shop,·,1-125,Closed,· Opens 6 am Tue,Dine-in,·,Takeaway,,,,
SAGAR’s Cafe,5.0,-3,Cafe,·,"SAGAR FOODS, 301, 2nd Line",Open,· Closes 11:30 pm,Dine-in,·,Kerbside pickup,·,Delivery,,
RUCHI TEA STALL,4.1,-130,Cafe,·,·,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No delivery,·,₹1–200
RR Cafe,5.0,-3,Coffee shop,·,R944+576,,,"""Good coffee, nice ambiance, and friendly service.""",,,,,,
Mastanayya Tea & Pan Shop,4.4,-24,Coffee shop,·,Tea shop,Open,· Closes 10:30 pm,Drive-through,,,,,·,₹1–200
TEA HOUSE BAPATLA,3.9,-140,Coffee shop,·,Surya Lanka Beach Road,Open,· Closes 9 pm,Takeaway,,,,,·,₹1–200
Sri Padmanabhaiah Hotel,4.3,"-4,049",Restaurant,·,Guntur - Chennai Hwy,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,₹1–200
Tea Step,4.1,-34,Coffee shop,,,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,·,₹1–200
Raga's Kitchen Family Restaurant,4.4,-30,Family-friendly,·,62HW+9JF,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,·,₹200–400
Aniq Cafe,4.2,-50,Cafe,·,"GBC Rd, next to Apollo pharmacy",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,·,₹1–800
Usha Cafe,5.0,-13,Food court,·,opposite bare hospital,Open,· Closes 10:30 pm,Takeaway,,,,,,
Tea Point,4.2,-45,Cafe,·,"P2W5+8C9, Main Rd",Open,· Closes 8:30 pm,Dine-in,·,Drive-through,,,,
Ashok Family Restaurant and Daba,4.5,-56,Restaurant,·,62XF+JH4,Opens soon,· 11 am,Dine-in,·,Takeaway,,,·,₹200–400
Rajasthan Tea & cafe Point,5.0,-3,Coffee shop,·,"V527+5RC, Prakasam 2-69",Open,· Closes 8 pm,Dine-in,,,,,,
Coffee corner,4.5,-2,Coffee shop,·,"RW65+5MQ, Addanki - Darsi Rd",,,Dine-in,·,Takeaway,,,,
N.H.A.I rest area,4.1,-48,Indian,·,2448+WHP,Open 24 hours,,Dine-in,·,Drive-through,,,·,₹1–200
KP Family Dhaba,4.3,-26,Restaurant,·,"NH 167A, beside TVs showroom, in front of golkonda gardens",Closed,· Opens 12 pm,Dine-in,·,Takeaway,,,·,"₹1–1,000"
Highway Cafe And Restaurant,3.9,"-1,282",Cafe,·,"NH16, Bypass, beside Bharat Petrol Bunk",,,"""Easy access, delicious food and clean washroom""",,,,,·,₹1–200
NPC Nilagiris Premium Coffee,3.7,-6,Coffee shop,·,"Bollapalli Toll Plaza, NH 16",,,Dine-in,·,Drive-through,·,No-contact delivery,,
S V R Cafe,4.7,-3,Cafe,·,Shop4,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,·,₹1–200
KAFA CAFE & RESTO,4.5,-515,Cafe,·,Apiic,Opens soon,· 11 am,Dine-in,·,Kerbside pickup,,,·,"₹400–1,400"
COFFEE HUB,5.0,-1,Tea store,·,"Ongole Rd, Naidu Peta Rd",Open,· Closes 10 pm,"""Nice ☕☕☕ and coffee""",,,,,,
Poorna Coffee & Tea Works,4.2,-36,Coffee shop,,,Open,· Closes 10 pm,,,,,,·,₹
NOOR IRANI CHAI AND CAFE,,,Cafe,·,toll plaza,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
Coffee Bean Resto Café,4.2,-12,Coffee shop,·,"11-1890, KNP 2, Bheemili Beach Road, near Sun N Sea Resorts",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,·,"₹1–1,000"
Relax tea & snacks 1,4.0,-2,Coffee shop,·,"24JJ+M2M, MDR43",Open,· Closes 9:01 pm,,,,,,,
Palnadu Tiffen Center,5.0,-1,Fast Food,·,"3M2M+PHJ Koti Center, Repalle, Road",Closes soon,· 11 am · Reopens 12 pm,Dine-in,·,Takeaway,,,,
Sri Sai Aravind Food Court,3.1,"-4,466",Restaurant,,,Opens soon,· 11 am,Dine-in,·,Drive-through,·,Delivery,·,₹1–200
BIGBOSS MULTI CUSINE RESTAURANT,4.0,-631,Restaurant,·,"On, Bhavani Centre, NH16 Highway",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,Delivery,·,₹200–400
Mari Gold Internet Cafe,4.7,-80,Internet cafe,·,"Down of sachavalayam APARTMENT, Bhagat Singh Rd",Open,· Closes 9:30 pm,,,,,,,
వారాహి టీ & కూల్ డ్రింక్స్,5.0,-1,Coffee shop,·,near ZP High school,,,,,,,,,
City Tea Palace,4.1,-227,Coffee shop,·,·,Open,· Closes 10 pm,"""Taste was very good.""",,,,,·,₹1–200
Kerala Tiffin Center,4.2,-489,Breakfast,·,10-5-23/1,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,,,·,₹1–200
CHAI DUNIYA TEA CAFE,4.6,-8,Cafe,·,·,Open,· Closes 5 pm,Dine-in,·,No delivery,,,,
Sri Venkateswara cafe,5.0,-1,Coffee shop,·,Kothapeta Rd,,,Dine-in,·,Takeaway,,,,
Jaya's cafe,5.0,-1,Cafe,·,"Main r Main road, opposite bus stand",,,,,,,,,
Manasa Cafe,5.0,-2,Coffee shop,·,XCQC+J66,Open,· Closes 10 pm,Dine-in,,,,,,
Chennai Traditional coffee shop,4.3,-9,Coffee shop,·,"Vadarevu Rd, near AKP College",,,Dine-in,·,Drive-through,,,,
