qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe 2,bbPy1 2
Cafe Aroma,5.0,-1,,,Hotel,·,beside durgamma temple,,,"""Good in Taste""",,,,,,
Mr. Tortoise cafeteria,4.3,-459,·,₹200–400,Cafe,·,"Near, Door No:70-2-43, opp. Sobhagya Hospital",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Sunway Cafe,5.0,-1,,,Cafe,·,near carte line,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,Delivery,,
Kondapalli cafe,4.5,-42,·,"₹400–1,400",Restaurant,·,"No. 21 1, 2/4, Temple St, opp. Municipal Corporation Girls H School",,,"""Good ambience, tasty food, very attentive staff.""",,,,,,
Café Coffee Day,4.0,"-1,041",·,₹200–400,Cafe,·,"at Sbi Bank Building, No. 104, Ground Flr, Pattabhi Plaza, Juvvalapalem Rd",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
Ricky’s Sun & Sea Cafe,5.0,-7,·,"₹1–1,000",Cafe,·,"SHOP NO - 2B, APTDC FOOD COURT, BEACH, inside RUSHIKONDA, near Children Park",Open,· Closes 9:30 pm,Dine-in,·,Kerbside pickup,,,,
Yours coffee cafe,4.8,-4,,,Coffee shop,·,Katyayani Hi-Tech Complex,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
Kakinada Chai Adda,4.6,-17,·,₹1–200,Coffee shop,·,Gandhi Circle,Open,· Closes 9:30 pm,Takeaway,,,,,,
Kavyam cafe,4.4,-5,·,₹1–200,Cafe,·,opposite to vbr international school,Open,· Closes 10 pm,Dine-in,,,,,,
Cafe swaaditam,5.0,-5,,,Coffee shop,,,Open,· Closes 11 pm,Dine-in,,,,,,
Dwarakamayi Cool Point,5.0,-4,,,Cafe,·,"R8CW+77W, Revallapalem Street Number 9",Open,· Closes 4:15 pm,,,,,,,
Babai Chai Spot (బాబాయ్ చాయి),4.5,-4,,,Coffee shop,,,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No delivery,,
Dine Destiny Fine Dining Restaurant,4.0,-648,·,"₹200–1,400",Fine Dining,·,·,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
