qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Main Road,4.1,-490,·,"₹200–1,400",Restaurant,·,,"28/1/21, 1, Main Rd, near Glass House Centre",,Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,,
DFC - DOSA FILLING CENTRE,4.3,-311,·,₹1–200,Vegetarian,·,,"11-5-1/1, Ravichandra Hospital Rd",,Closed,· Opens 3 pm,Dine-in,·,Drive-through,,,,
GURUJEE BAR & RESTAURANT,4.1,-365,,,Restaurant,,,,,Open,· Closes 11:30 pm,Dine-in,·,Kerbside pickup,,,,
Hare Krishna Grand,4.7,-99,·,₹200–400,Restaurant,·,,"gold market center, 33-1-55/A, Main Rd, above Vasundhara Silvers",,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,Delivery,,
Kokila Restaurant,3.9,"-5,601",·,₹1–200,Breakfast,·,,Bhaskar Nagar Rd,,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,Order online,
Smoke in BBQ,4.5,-17,,,Restaurant,·,,"67-1-1, 3B",,Closed,· Opens 5 pm,Dine-in,·,Takeaway,·,Delivery,,
Fit brew Cafe,5.0,-63,·,₹200–400,Health Food,·,,"Bhanugudi Jct, above domino’s pizza, inside chisel fitness",,,,"""Delicious food, good ambience and amazing service.""",,,,,,
"Kakinada Pesaratlu - Kakinada, AP",4.3,-477,·,₹1–200,Andhra,·,,"Temple St, near Venu Gopala Swamy Temple",,Closed,· Opens 5 pm,Dine-in,·,Takeaway,·,Delivery,,
ibaco - Kakinada,4.4,"-1,007",·,₹₹,Ice Cream,·,,·,"Ranga Rayinim Residency, No. 2-1-46, Bhanugudi Jct, near Dominos",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Cone & Kulhad,4.9,-36,·,₹1–200,Cafe,·,,·,"stall no.1, Eat street",Closed,· Opens 3 pm,Kerbside pickup,·,Delivery,,,Order online,
Lassi House,4.2,-66,·,₹1–200,Cafe,·,,Paradise Complex,,Open,· Closes 11 pm,Delivery,,,,,Order online,
"RAJAHMUNDRY ROSEMILK CENTER - SINCE 1950, KAKINADA",4.5,-102,,,Asian,·,,·,"X65P+22M, Main Rd",Open,· Closes 11 pm,Kerbside pickup,·,No-contact delivery,,,Order online,
"Madras Premium Coffee, Eat Street",5.0,-1,,,Coffee shop,·,,P R College,,,,Dine-in,,,,,,
Eat More,4.1,"-1,014",·,₹200–400,Restaurant,·,,"D- Mart Road, opposite KKR Gowtham School, near Pragathi Inter College",,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
EATSTREET kakinada,4.2,-811,·,₹1–200,Fast Food,·,,,,Closed,· Opens 6 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
